iteration,train_loss,test_loss
1,18611.646972249237,7680.601097832129
2,6230.335379619339,6055.169677598666
3,5586.676852511114,8787.517162312395
4,5327.9679728744095,5768.388236520289
5,5407.388146012781,4883.414605336298
6,4595.542485759934,6084.2544469149525
7,3728.679160009725,5891.860877570873
8,4116.322470217421,4330.135509310729
9,3842.5113117358987,5070.101653696498
10,3502.8253073770493,3014.683053085047
11,2900.4000145439704,2591.8631878821566
12,2853.637191971728,3112.2689862423567
13,2941.3455148131425,5018.036826014452
14,2589.5911353414144,3668.078090258477
15,2058.548566007919,4088.821749930517
16,1953.6623117966797,2158.576010109783
17,1736.360355632641,2011.3260231378545
18,1707.1843171497292,1861.1160714285713
19,1609.8995890785634,2027.3754820386325
20,1442.9549779995311,1888.429961089494
21,1625.1872905234093,1848.4284064063368
22,1515.5147591453356,1616.0868581503614
23,1539.3901979065365,1827.0209491384103
24,1202.5281954948423,1595.2899440661479
25,1298.138441233676,1589.2181072818232
26,1170.5191567970269,1607.0397269316286
27,1024.8139842447554,1729.391259032796
28,1164.7374938133858,1579.698617287382
29,1083.8880890308071,1660.04721372985
30,1115.8273695818282,1698.4315678849362
31,1056.102319546228,1499.7800253613118
32,1140.3707648826062,1495.420346372985
33,975.7908913500278,1504.629551139522
34,932.7844390911538,1581.6898711089493
35,988.0230627756843,1337.838269524736
36,1030.8737333721172,1537.534976028349
37,965.5711525771047,1519.6680968593664
38,1003.6609105828007,1528.346399041134
39,848.2003038495936,1906.8898020601723
40,960.5965746778619,1918.669408351862
41,755.5795867233086,1653.5006818023903
42,933.0277499500729,1505.8518056906614
43,757.1537807811197,1472.6498836158978
44,714.2775817175778,1236.6771253126738
45,837.3160100896082,1251.220765008338
46,782.0872697928244,1345.23471372985
47,615.9668543996596,1488.359568249722
48,750.6626884203946,1233.4803623540856
49,754.2534814629498,1419.7121664813785
50,637.1961794400354,1387.9776959421902
51,639.6577068391393,1582.7021218385214
52,668.7102816646117,1674.641124409394
53,572.9464620434929,1665.5260952265148
54,617.0049403371596,1670.537499131462
55,675.5741880882711,1393.9950102487494
56,577.3865749383509,1535.2251120414119
57,506.5074456446235,1322.0197201570318
58,612.0540677531953,1318.739720851862
59,685.4257178914715,1524.6744979849916
60,557.656761209711,1036.942107594497
61,565.8890712915046,1134.7742930100055
62,498.4119950040376,1261.0985877570872
63,622.1577989599975,1240.6561805169538
64,365.12774137564253,1173.3500990133407
65,477.46322844670397,1280.1620561770428
66,640.8381660378751,1914.0773085742078
67,575.8480081815261,1695.8062030989438
68,525.4786979673173,1427.9517700806002
69,519.7992405659559,1375.5008641953864
70,464.33513106939427,1523.2059130072262
71,427.90097699664835,1567.4607203654807
72,369.99834345260837,1433.3983962444413
73,464.39866298581205,1494.8267396817675
74,389.8319921766463,1373.3479406962201
75,395.101118583287,1327.3479537242913
76,407.35473151179144,1375.6191330252918
77,407.47177207970094,1385.6788450180657
78,350.2950013784211,1368.5759427980822
79,393.9814491112983,1410.100963208727
80,406.1856901439636,1374.0292827612564
